样品编号,水分,灰分
0,10.0,20.0
1,10.0,20.0
2,10.0,20.0
3,10.0,20.0
4,10.0,20.0
5,10.0,20.0
6,10.0,20.0
7,10.0,20.0
8,10.0,20.0
9,10.0,20.0
10,10.0,20.0
11,10.0,20.0
12,10.0,20.0
13,10.0,20.0
14,10.0,20.0
15,10.0,20.0
16,10.0,20.0
17,10.0,20.0
18,10.0,20.0
19,10.0,20.0
20,10.0,20.0
21,10.0,20.0
22,10.0,20.0
23,10.0,20.0
24,10.0,20.0
25,10.0,20.0
26,10.0,20.0
27,10.0,20.0
28,10.0,20.0
29,10.0,20.0
30,10.0,20.0
31,10.0,20.0
32,10.0,20.0
33,10.0,20.0
34,10.0,20.0
35,10.0,20.0
36,10.0,20.0
37,10.0,20.0
38,10.0,20.0
39,10.0,20.0
40,10.0,20.0
41,10.0,20.0
42,10.0,20.0
43,10.0,20.0
44,10.0,20.0
45,10.0,20.0
46,10.0,20.0
47,10.0,20.0
48,10.0,20.0
49,10.0,20.0
50,10.0,20.0
51,10.0,20.0
52,10.0,20.0
53,10.0,20.0
54,10.0,20.0
55,10.0,20.0
56,10.0,20.0
57,10.0,20.0
58,10.0,20.0
59,10.0,20.0
60,10.0,20.0
61,10.0,20.0
62,10.0,20.0
63,10.0,20.0
64,10.0,20.0
65,10.0,20.0
66,10.0,20.0
67,10.0,20.0
68,10.0,20.0
69,10.0,20.0
70,10.0,20.0
71,10.0,20.0
72,10.0,20.0
73,10.0,20.0
74,10.0,20.0
75,10.0,20.0
76,10.0,20.0
77,10.0,20.0
78,10.0,20.0
79,10.0,20.0
80,10.0,20.0
81,10.0,20.0
82,10.0,20.0
83,10.0,20.0
84,10.0,20.0
85,10.0,20.0
86,10.0,20.0
87,10.0,20.0
88,10.0,20.0
89,10.0,20.0
90,10.0,20.0
91,10.0,20.0
92,10.0,20.0
93,10.0,20.0
94,10.0,20.0
95,10.0,20.0
96,10.0,20.0
97,10.0,20.0
98,10.0,20.0
99,10.0,20.0
